bbc_name,ta_first_name,ta_fam_name
Pedro Martinez,Pedro,Martinez Portero
Carlos Alcaraz,Carlos,Alcaraz Garfia
Daniel Galan,Daniel Elahi,Galan Riveros
Christopher O'Connell,Christopher,Oconnell
Albert Ramos-Vinolas,Albert,Ramos
Mackenzie McDonald,Mackenzie,Mcdonald
Marcelo Barrios,Marcelo Tomas,Barrios Vera
